Start: Train Size=1071 | Test R2=-46.2685 | Test MAE=25.7569
Iteração 1: Adicionadas 5 amostras | Incerteza Média Batch: 2.3008 | Test R2: -45.8877 | Test MAE: 25.6243
Iteração 2: Adicionadas 5 amostras | Incerteza Média Batch: 2.1458 | Test R2: -45.3488 | Test MAE: 25.4245
Iteração 3: Adicionadas 5 amostras | Incerteza Média Batch: 2.1620 | Test R2: -44.6351 | Test MAE: 25.1815
Iteração 4: Adicionadas 5 amostras | Incerteza Média Batch: 2.2953 | Test R2: -43.8247 | Test MAE: 24.9054
Iteração 5: Adicionadas 5 amostras | Incerteza Média Batch: 2.8045 | Test R2: -43.0337 | Test MAE: 24.6440
Iteração 6: Adicionadas 5 amostras | Incerteza Média Batch: 3.7118 | Test R2: -42.2658 | Test MAE: 24.3965
Iteração 7: Adicionadas 5 amostras | Incerteza Média Batch: 4.9025 | Test R2: -41.5289 | Test MAE: 24.1627
Iteração 8: Adicionadas 5 amostras | Incerteza Média Batch: 6.1715 | Test R2: -40.7956 | Test MAE: 23.9353
Iteração 9: Adicionadas 5 amostras | Incerteza Média Batch: 7.4764 | Test R2: -40.0695 | Test MAE: 23.7130
Iteração 10: Adicionadas 5 amostras | Incerteza Média Batch: 9.1309 | Test R2: -39.3264 | Test MAE: 23.4891
Iteração 11: Adicionadas 5 amostras | Incerteza Média Batch: 10.6163 | Test R2: -38.5371 | Test MAE: 23.2555
Iteração 12: Adicionadas 5 amostras | Incerteza Média Batch: 12.5280 | Test R2: -37.6950 | Test MAE: 23.0094
Iteração 13: Adicionadas 5 amostras | Incerteza Média Batch: 14.7893 | Test R2: -36.7950 | Test MAE: 22.7475
Iteração 14: Adicionadas 5 amostras | Incerteza Média Batch: 16.8779 | Test R2: -35.8265 | Test MAE: 22.4653
Iteração 15: Adicionadas 5 amostras | Incerteza Média Batch: 19.1199 | Test R2: -35.0182 | Test MAE: 22.2252
Iteração 16: Adicionadas 5 amostras | Incerteza Média Batch: 20.4632 | Test R2: -34.3440 | Test MAE: 22.0216
Iteração 17: Adicionadas 5 amostras | Incerteza Média Batch: 20.2950 | Test R2: -33.7685 | Test MAE: 21.8456
Iteração 18: Adicionadas 5 amostras | Incerteza Média Batch: 19.5866 | Test R2: -33.2503 | Test MAE: 21.6855
Iteração 19: Adicionadas 5 amostras | Incerteza Média Batch: 18.8002 | Test R2: -32.7296 | Test MAE: 21.5253
Iteração 20: Adicionadas 5 amostras | Incerteza Média Batch: 18.4123 | Test R2: -32.2794 | Test MAE: 21.3861
Iteração 21: Adicionadas 5 amostras | Incerteza Média Batch: 18.1779 | Test R2: -31.9487 | Test MAE: 21.2836
Iteração 22: Adicionadas 5 amostras | Incerteza Média Batch: 17.4773 | Test R2: -31.6902 | Test MAE: 21.2034
Iteração 23: Adicionadas 5 amostras | Incerteza Média Batch: 16.5891 | Test R2: -31.4887 | Test MAE: 21.1408
Iteração 24: Adicionadas 5 amostras | Incerteza Média Batch: 14.9127 | Test R2: -31.2436 | Test MAE: 21.0664
Iteração 25: Adicionadas 5 amostras | Incerteza Média Batch: 13.4205 | Test R2: -30.9420 | Test MAE: 20.9754
Iteração 26: Adicionadas 5 amostras | Incerteza Média Batch: 11.7222 | Test R2: -30.4553 | Test MAE: 20.8262
Iteração 27: Adicionadas 5 amostras | Incerteza Média Batch: 10.0251 | Test R2: -29.8309 | Test MAE: 20.6306
Iteração 28: Adicionadas 5 amostras | Incerteza Média Batch: 8.8560 | Test R2: -29.0895 | Test MAE: 20.3927
Iteração 29: Adicionadas 5 amostras | Incerteza Média Batch: 8.0298 | Test R2: -28.2490 | Test MAE: 20.1150
Iteração 30: Adicionadas 5 amostras | Incerteza Média Batch: 7.2337 | Test R2: -27.3675 | Test MAE: 19.8138
Iteração 31: Adicionadas 5 amostras | Incerteza Média Batch: 6.5677 | Test R2: -26.4482 | Test MAE: 19.4878
Iteração 32: Adicionadas 5 amostras | Incerteza Média Batch: 5.9454 | Test R2: -25.5629 | Test MAE: 19.1647
Iteração 33: Adicionadas 5 amostras | Incerteza Média Batch: 6.5777 | Test R2: -24.6949 | Test MAE: 18.8405
Iteração 34: Adicionadas 5 amostras | Incerteza Média Batch: 6.7726 | Test R2: -23.7566 | Test MAE: 18.4793
Iteração 35: Adicionadas 5 amostras | Incerteza Média Batch: 7.4619 | Test R2: -22.8593 | Test MAE: 18.1215
Iteração 36: Adicionadas 5 amostras | Incerteza Média Batch: 7.6182 | Test R2: -22.2358 | Test MAE: 17.8677
Iteração 37: Adicionadas 5 amostras | Incerteza Média Batch: 6.5126 | Test R2: -21.5444 | Test MAE: 17.5785
Iteração 38: Adicionadas 5 amostras | Incerteza Média Batch: 5.5446 | Test R2: -21.1043 | Test MAE: 17.3904
Iteração 39: Adicionadas 5 amostras | Incerteza Média Batch: 4.8728 | Test R2: -20.9466 | Test MAE: 17.3260
Iteração 40: Adicionadas 5 amostras | Incerteza Média Batch: 5.4814 | Test R2: -21.0318 | Test MAE: 17.3716
Iteração 41: Adicionadas 5 amostras | Incerteza Média Batch: 5.9656 | Test R2: -21.3168 | Test MAE: 17.5062
Iteração 42: Adicionadas 5 amostras | Incerteza Média Batch: 6.1313 | Test R2: -21.7814 | Test MAE: 17.7155
Iteração 43: Adicionadas 5 amostras | Incerteza Média Batch: 6.3036 | Test R2: -22.4098 | Test MAE: 17.9888
Iteração 44: Adicionadas 5 amostras | Incerteza Média Batch: 6.3573 | Test R2: -23.1607 | Test MAE: 18.3066
Iteração 45: Adicionadas 5 amostras | Incerteza Média Batch: 6.2539 | Test R2: -23.9731 | Test MAE: 18.6416
Iteração 46: Adicionadas 5 amostras | Incerteza Média Batch: 5.9769 | Test R2: -24.8122 | Test MAE: 18.9792
Iteração 47: Adicionadas 5 amostras | Incerteza Média Batch: 5.4780 | Test R2: -25.5854 | Test MAE: 19.2839
Iteração 48: Adicionadas 5 amostras | Incerteza Média Batch: 4.6815 | Test R2: -26.2559 | Test MAE: 19.5428
Iteração 49: Adicionadas 5 amostras | Incerteza Média Batch: 4.3644 | Test R2: -26.9471 | Test MAE: 19.8223
Iteração 50: Adicionadas 5 amostras | Incerteza Média Batch: 4.0948 | Test R2: -27.7659 | Test MAE: 20.1658
Iteração 51: Adicionadas 5 amostras | Incerteza Média Batch: 3.8159 | Test R2: -28.5589 | Test MAE: 20.5001
Iteração 52: Adicionadas 5 amostras | Incerteza Média Batch: 3.3698 | Test R2: -29.2136 | Test MAE: 20.7769
Iteração 53: Adicionadas 5 amostras | Incerteza Média Batch: 3.0988 | Test R2: -29.6960 | Test MAE: 20.9838
Iteração 54: Adicionadas 5 amostras | Incerteza Média Batch: 2.8745 | Test R2: -30.0017 | Test MAE: 21.1137
Iteração 55: Adicionadas 5 amostras | Incerteza Média Batch: 2.7677 | Test R2: -30.2738 | Test MAE: 21.2320
Iteração 56: Adicionadas 5 amostras | Incerteza Média Batch: 2.7929 | Test R2: -30.4532 | Test MAE: 21.3053
Iteração 57: Adicionadas 5 amostras | Incerteza Média Batch: 2.5532 | Test R2: -30.4905 | Test MAE: 21.3219
Iteração 58: Adicionadas 5 amostras | Incerteza Média Batch: 2.6393 | Test R2: -30.7214 | Test MAE: 21.4347
Iteração 59: Adicionadas 5 amostras | Incerteza Média Batch: 2.6134 | Test R2: -30.9470 | Test MAE: 21.5535
Iteração 60: Adicionadas 5 amostras | Incerteza Média Batch: 2.6471 | Test R2: -31.1600 | Test MAE: 21.6759
Iteração 61: Adicionadas 5 amostras | Incerteza Média Batch: 2.6708 | Test R2: -31.4199 | Test MAE: 21.8266
Iteração 62: Adicionadas 5 amostras | Incerteza Média Batch: 2.7212 | Test R2: -31.5495 | Test MAE: 21.9252
Iteração 63: Adicionadas 5 amostras | Incerteza Média Batch: 2.8610 | Test R2: -31.5591 | Test MAE: 21.9748
Iteração 64: Adicionadas 5 amostras | Incerteza Média Batch: 3.0591 | Test R2: -31.4580 | Test MAE: 21.9793
Iteração 65: Adicionadas 5 amostras | Incerteza Média Batch: 3.3118 | Test R2: -31.2591 | Test MAE: 21.9422
Iteração 66: Adicionadas 5 amostras | Incerteza Média Batch: 3.5785 | Test R2: -30.9719 | Test MAE: 21.8663
Iteração 67: Adicionadas 5 amostras | Incerteza Média Batch: 3.8874 | Test R2: -30.6359 | Test MAE: 21.7655
Iteração 68: Adicionadas 5 amostras | Incerteza Média Batch: 4.1814 | Test R2: -30.2213 | Test MAE: 21.6285
Iteração 69: Adicionadas 5 amostras | Incerteza Média Batch: 4.5158 | Test R2: -29.8389 | Test MAE: 21.4968
Iteração 70: Adicionadas 5 amostras | Incerteza Média Batch: 4.5717 | Test R2: -29.4941 | Test MAE: 21.3746
Iteração 71: Adicionadas 5 amostras | Incerteza Média Batch: 4.4140 | Test R2: -29.1410 | Test MAE: 21.2449
Iteração 72: Adicionadas 5 amostras | Incerteza Média Batch: 4.0522 | Test R2: -28.8683 | Test MAE: 21.1444
Iteração 73: Adicionadas 5 amostras | Incerteza Média Batch: 3.6344 | Test R2: -28.5208 | Test MAE: 21.0121
Iteração 74: Adicionadas 5 amostras | Incerteza Média Batch: 3.4654 | Test R2: -28.2226 | Test MAE: 20.8973
Iteração 75: Adicionadas 5 amostras | Incerteza Média Batch: 3.3964 | Test R2: -27.8943 | Test MAE: 20.7686
Iteração 76: Adicionadas 5 amostras | Incerteza Média Batch: 3.5547 | Test R2: -27.7017 | Test MAE: 20.6932
Iteração 77: Adicionadas 5 amostras | Incerteza Média Batch: 3.3505 | Test R2: -27.4890 | Test MAE: 20.6073
Iteração 78: Adicionadas 5 amostras | Incerteza Média Batch: 3.3430 | Test R2: -27.2316 | Test MAE: 20.5004
Iteração 79: Adicionadas 5 amostras | Incerteza Média Batch: 3.3535 | Test R2: -26.9351 | Test MAE: 20.3754
Iteração 80: Adicionadas 5 amostras | Incerteza Média Batch: 3.3100 | Test R2: -26.5251 | Test MAE: 20.1965
Iteração 81: Adicionadas 5 amostras | Incerteza Média Batch: 3.3710 | Test R2: -26.0141 | Test MAE: 19.9670
Iteração 82: Adicionadas 5 amostras | Incerteza Média Batch: 3.5326 | Test R2: -25.4244 | Test MAE: 19.6957
Iteração 83: Adicionadas 5 amostras | Incerteza Média Batch: 3.7241 | Test R2: -24.8603 | Test MAE: 19.4287
Iteração 84: Adicionadas 5 amostras | Incerteza Média Batch: 3.9300 | Test R2: -24.3945 | Test MAE: 19.2031
Iteração 85: Adicionadas 5 amostras | Incerteza Média Batch: 3.9931 | Test R2: -23.8476 | Test MAE: 18.9359
Iteração 86: Adicionadas 5 amostras | Incerteza Média Batch: 4.1508 | Test R2: -23.2712 | Test MAE: 18.6519
Iteração 87: Adicionadas 5 amostras | Incerteza Média Batch: 4.2334 | Test R2: -22.7718 | Test MAE: 18.4028
Iteração 88: Adicionadas 5 amostras | Incerteza Média Batch: 3.9295 | Test R2: -22.3300 | Test MAE: 18.1799
Iteração 89: Adicionadas 5 amostras | Incerteza Média Batch: 3.7275 | Test R2: -21.9937 | Test MAE: 18.0061
Iteração 90: Adicionadas 5 amostras | Incerteza Média Batch: 3.5121 | Test R2: -21.6910 | Test MAE: 17.8489
Iteração 91: Adicionadas 5 amostras | Incerteza Média Batch: 3.1894 | Test R2: -21.5602 | Test MAE: 17.7710
Iteração 92: Adicionadas 5 amostras | Incerteza Média Batch: 2.9656 | Test R2: -21.5301 | Test MAE: 17.7388
Iteração 93: Adicionadas 5 amostras | Incerteza Média Batch: 2.7743 | Test R2: -21.5945 | Test MAE: 17.7490
Iteração 94: Adicionadas 5 amostras | Incerteza Média Batch: 2.6793 | Test R2: -21.6535 | Test MAE: 17.7568
Iteração 95: Adicionadas 5 amostras | Incerteza Média Batch: 2.5505 | Test R2: -21.7865 | Test MAE: 17.8031
Iteração 96: Adicionadas 5 amostras | Incerteza Média Batch: 2.5427 | Test R2: -22.0190 | Test MAE: 17.9062
Iteração 97: Adicionadas 5 amostras | Incerteza Média Batch: 2.6354 | Test R2: -22.3411 | Test MAE: 18.0632
Iteração 98: Adicionadas 5 amostras | Incerteza Média Batch: 2.7317 | Test R2: -22.7485 | Test MAE: 18.2727
Iteração 99: Adicionadas 5 amostras | Incerteza Média Batch: 2.7853 | Test R2: -23.2373 | Test MAE: 18.5340
Iteração 100: Adicionadas 5 amostras | Incerteza Média Batch: 2.7526 | Test R2: -23.7945 | Test MAE: 18.8389
Iteração 101: Adicionadas 5 amostras | Incerteza Média Batch: 2.6958 | Test R2: -24.3472 | Test MAE: 19.1386
